Nr,Rmag,e.Rmag,ApDRmag,Mcz,UjMAG,BjMAG,VjMAG,usMAG,gsMAG,rsMAG,UbMAG,BbMAG,VnMAG,S280MAG
6,24.995,0.097,0.935,0.832,-17.67,-17.54,-17.76,-17.83,-17.6,-17.97,-17.76,-17.53,-17.76,-18.22
16,24.246,0.054,0.821,1.202,-19.75,-19.91,-20.41,-19.87,-20.05,-20.71,-19.82,-19.89,-20.4,-19.77
21,25.203,0.128,0.639,0.912,-17.83,-17.39,-17.67,-17.98,-17.47,-17.89,-17.92,-17.38,-17.67,-18.12
26,25.504,0.112,-1.588,0.848,-17.69,-18.4,-19.37,-17.81,-18.69,-19.88,-17.76,-18.35,-19.37,-13.93
29,23.74,0.056,-1.636,0.882,-19.22,-18.11,-18.7,-19.34,-18.27,-19.05,-19.3,-18.08,-18.69,-19.18
45,25.706,0.257,0.199,0.896,-17.09,-16.06,-16.23,-17.26,-16.11,-16.39,-17.19,-16.05,-16.22,-17.81
49,25.139,0.217,-0.31,0.93,-16.87,-16.49,-17.01,-17.01,-16.64,-17.32,-16.95,-16.46,-17.01,-14.37
50,24.699,0.098,0.268,0.774,-17.67,-17.68,-17.87,-17.81,-17.63,-18.1,-17.76,-17.66,-17.86,-17.86
51,24.849,0.097,0.399,0.062,-11.63,-11.15,-11.32,-11.82,-11.16,-11.6,-11.73,-11.13,-11.31,-12.22
60,25.309,0.183,0.03,0.874,-17.61,-16.99,-17.58,-17.72,-17.16,-17.93,-17.68,-16.96,-17.58,-17.75
62,24.091,0.064,0.098,0.173,-13.76,-13.99,-14.41,-13.89,-14.12,-14.68,-13.84,-13.97,-14.41,-13.85
64,25.219,0.151,0.316,1.109,-18.57,-18.49,-18.76,-18.72,-18.56,-18.97,-18.66,-18.48,-18.75,-18.74
66,26.269,0.27,0.672,0.143,-10.95,-10.3,-11.82,-11.1,-11.51,-12.19,-11.03,-10.28,-11.81,-10.16
71,23.596,0.046,-0.084,0.626,-17.75,-18.21,-19.11,-17.86,-18.52,-19.57,-17.82,-18.18,-19.11,-17.32
72,23.204,0.032,-0.026,1.185,-20.5,-20.14,-20.3,-20.69,-20.19,-20.51,-20.6,-20.13,-20.29,-20.96
75,25.161,0.248,-0.028,0.921,-17.87,-16.13,-16.3,-18.03,-16.17,-16.47,-17.97,-16.12,-16.3,-18.66
83,22.884,0.026,-0.097,0.832,-19.81,-19.42,-19.64,-20,-19.49,-19.93,-19.91,-19.41,-19.63,-20.24
84,24.346,0.097,-0.046,0.793,-18.12,-18.11,-18.58,-18.27,-18.35,-18.81,-18.21,-18.1,-18.58,-18.31
87,25.453,0.181,0.159,0.952,-17.77,-17.81,-18.06,-17.92,-17.88,-18.28,-17.86,-17.79,-18.06,-18.42
88,25.911,0.178,0.787,0.921,-17.34,-17.59,-18.11,-17.46,-17.74,-18.43,-17.41,-17.56,-18.11,-17.63
89,26.004,0.205,0.662,0.986,-17.38,-16.98,-17.3,-17.52,-17.06,-17.53,-17.47,-16.96,-17.29,-16.98
95,25.204,0.283,-1.157,0.929,-18.05,-18.68,-19.63,-18.16,-18.96,-20.13,-18.12,-18.63,-19.63,-18.01
97,25.357,0.157,0.484,0.901,-17.64,-17.48,-17.67,-17.8,-17.53,-17.84,-17.73,-17.47,-17.67,-18.29
105,24.117,0.057,0.066,0.484,-16.64,-16.6,-16.83,-16.8,-16.66,-16.75,-16.74,-16.59,-16.83,-17.08
107,26.108,0.275,0.807,0.763,-16.27,-16.39,-15.54,-16.4,-15.22,-15.83,-16.35,-16.37,-15.54,-16.64
108,24.909,0.132,-0.012,0.711,-17.09,-17.21,-17.85,-17.22,-17.53,-18.14,-17.17,-17.19,-17.85,-17.06
117,24.474,0.097,-0.1,1.044,-18.95,-18.95,-19.22,-19.1,-19.02,-19.43,-19.04,-18.94,-19.22,-19.26
120,23.1,0.045,-0.606,0.826,-19.61,-19.85,-20.28,-19.74,-19.97,-20.56,-19.69,-19.83,-20.27,-19.72
121,22.009,0.019,-0.297,0.34,-17.49,-17.64,-18.17,-17.71,-17.83,-18.47,-17.57,-17.61,-18.17,-17.36
122,22.351,0.02,-0.262,0.365,-17.59,-17.6,-17.98,-17.81,-17.69,-18.29,-17.67,-17.58,-17.98,-17.71
124,22.729,0.023,-0.25,0.898,-20.26,-20.04,-20.34,-20.41,-20.12,-20.6,-20.35,-20.02,-20.34,-20.4
125,23.378,0.044,-0.339,0.878,-19.52,-19.54,-19.81,-19.67,-19.61,-20.02,-19.61,-19.52,-19.8,-19.7
126,23.343,0.035,0.02,0.082,-12.91,-12.97,-13.42,-13.04,-13.15,-13.68,-12.99,-12.95,-13.41,-13.07
